"Playoff.Wins","FGA","FG_perc","X3PA","X3P_perc","FTA","FT_perc","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","O_FGA","O_FG_perc","O_3PA","O_3P_perc","O_2P","O_FTA","O_FT_perc","O_ORB","O_DRB","O_AST","O_STL","O_BLK","O_TOV","O_PF","O_PTS","W","MOV","SOS","SRS","ORtg","DRtg","Pace","FTr","X3PAr","eFG_perc","TOV_perc","ORB_perc","FT.FGA","eFG_perc_1","TOV_perc_2","DRB_perc","FT.FGA_3","Attendance"
12,9,24,14,18,15,29,1,6,2,15,8,20,7,11,19,6,8,6,1,9,11,3,2,14,9,5,10,10,16,5,7,7,30,7,18,4,18,17,18,22,4,3,24,7,5,2,14,3
10,17,20,19,26,22,7,10,24,18,13,17,1,1,5,21,6,6,4,4,7,9,5,25,9,8,3,1,20,28,2,4,6,28,6,6,7,30,22,19,21,1,11,18,5,16,25,10,2
9,18,2,26,29,2,20,3,16,7,2,20,22,20,30,7,1,11,15,15,3,30,27,3,2,4,24,28,18,1,17,6,8,10,8,3,18,15,2,26,11,17,1,3,13,14,4,30,6
6,8,16,23,2,18,23,8,2,1,9,4,6,24,22,13,9,2,13,6,2,21,1,14,13,11,21,25,2,9,6,8,4,29,5,21,1,6,21,24,17,23,9,22,3,1,10,19,1
6,24,17,5,8,12,25,24,8,14,3,30,27,12,19,15,14,9,18,16,6,22,26,12,24,21,15,13,22,10,13,14,16,21,16,16,15,16,10,4,7,14,26,15,10,22,9,23,19
6,2,1,2,1,30,1,30,3,19,1,26,14,9,3,1,29,14,13,22,30,3,28,28,22,3,9,2,14,21,23,2,2,14,3,1,13,3,30,2,1,5,29,27,12,24,20,3,10
5,1,12,1,14,17,26,12,16,10,4,1,3,23,26,2,28,19,30,24,22,29,14,30,30,28,28,18,1,13,30,12,13,8,13,11,19,1,24,3,3,13,23,29,24,2,29,21,14
3,15,26,3,5,28,16,22,1,4,16,17,23,6,7,17,15,1,12,8,4,8,12,1,25,5,10,11,25,30,3,5,5,11,4,15,3,21,25,1,15,9,22,26,1,23,1,8,21
2,21,5,14,4,19,2,15,10,8,24,24,12,5,17,9,3,7,1,7,8,20,9,5,3,2,8,3,21,15,4,1,3,13,2,2,5,28,18,13,5,6,8,11,4,17,5,22,4
2,13,11,11,9,23,5,29,14,27,10,19,25,2,5,11,21,21,22,17,17,4,18,7,28,17,1,5,15,19,16,9,10,26,10,10,12,9,23,10,10,3,30,17,22,15,8,5,13
1,4,7,13,28,3,19,5,5,3,5,2,8,28,9,3,30,15,27,10,28,6,4,27,14,27,28,24,3,4,26,10,9,12,9,8,11,2,6,16,12,22,7,8,15,11,21,2,17
1,7,6,4,16,9,18,21,12,11,6,10,9,19,20,5,26,18,19,18,24,25,24,21,23,20,26,21,19,8,25,12,12,9,12,7,24,8,12,5,4,15,20,13,17,25,18,20,7
0,29,10,8,27,20,30,26,7,15,18,21,7,11,8,28,16,5,23,14,5,10,8,17,16,10,7,4,23,18,8,11,17,25,18,24,8,25,16,7,6,16,25,25,8,21,14,9,5
0,30,4,28,15,7,28,15,19,16,29,22,11,29,21,27,1,3,10,9,1,26,23,11,1,6,27,14,17,7,7,16,11,27,11,22,6,26,1,28,13,30,4,5,6,8,13,29,18
0,3,22,6,21,4,11,6,22,12,23,6,18,3,15,4,25,27,29,29,23,18,29,25,26,26,2,15,6,6,28,14,15,23,15,4,28,5,7,8,18,2,13,6,28,13,24,18,12
16,30,4,12,5,9,8,23,9,12,8,5,18,27,26,11,3,1,19,1,1,22,4,12,2,2,13,16,3,8,2,1,1,30,1,10,1,19,6,9,5,29,18,3,1,1,8,23,12
14,6,3,6,6,5,10,19,1,4,4,6,5,11,15,4,26,6,18,15,21,12,13,26,16,14,22,12,10,5,19,3,3,14,2,3,5,6,9,6,4,10,19,8,7,18,15,9,11
10,22,13,22,13,22,14,10,25,21,10,17,3,1,13,17,1,3,4,2,2,14,5,6,4,5,3,3,18,25,1,2,2,29,4,6,4,30,17,22,15,2,6,13,3,13,12,19,1
9,28,14,10,11,27,15,27,10,23,21,24,24,4,2,27,4,5,3,3,9,2,18,1,17,1,9,10,27,24,3,4,8,7,7,15,3,28,24,8,10,8,26,24,5,20,1,4,13
7,15,28,13,16,15,28,1,12,3,25,18,7,10,16,24,5,11,8,10,8,16,7,2,13,9,8,14,24,19,9,13,16,22,16,20,11,25,15,12,26,12,2,20,10,16,2,18,3
7,8,8,8,3,28,11,14,16,16,13,8,28,3,1,9,16,16,21,6,15,1,27,3,18,12,1,4,14,28,5,4,6,8,5,5,7,26,28,11,6,3,13,29,17,12,3,1,26
6,18,2,26,10,2,16,13,26,24,2,3,22,19,30,5,2,17,8,10,5,30,8,5,1,7,17,22,4,4,13,8,4,17,3,1,12,10,3,27,3,20,5,4,16,3,9,30,5
5,26,5,2,4,3,27,28,5,12,22,27,27,13,13,6,24,7,10,13,19,11,15,13,15,10,11,7,26,2,11,9,5,28,9,7,6,9,2,1,2,19,27,9,6,24,6,14,18
3,21,16,28,18,7,7,7,21,11,12,14,4,24,11,15,22,21,7,16,24,10,12,24,5,20,16,24,16,9,15,19,19,25,20,16,18,18,7,28,21,24,4,6,15,17,26,13,20
2,14,21,7,26,25,25,9,6,1,15,15,8,9,6,22,15,2,2,19,7,9,2,10,7,4,19,13,23,26,4,6,9,11,8,17,2,21,26,7,17,11,7,27,2,21,7,9,16
2,17,11,29,30,10,30,2,28,14,23,4,12,12,7,23,8,20,20,14,10,3,28,18,3,24,7,22,6,18,7,17,14,23,14,18,8,20,11,29,22,14,1,15,20,2,23,7,23
2,16,22,9,17,19,5,8,27,19,27,10,15,7,5,14,9,19,30,30,3,8,16,13,11,27,5,9,12,21,12,14,15,24,17,12,24,27,18,10,19,6,9,11,27,11,20,12,15
1,24,9,19,20,14,1,21,7,9,20,29,10,5,23,12,11,4,1,5,16,23,21,9,6,3,6,8,30,13,6,10,10,10,10,8,9,24,12,19,12,5,16,7,4,30,5,22,4
1,9,1,5,1,21,4,30,4,20,1,22,2,15,8,3,30,13,5,7,30,7,8,30,12,6,14,2,20,15,25,6,7,13,6,2,16,4,22,5,1,16,29,14,8,29,29,2,14
1,13,7,14,2,30,2,26,14,28,5,19,25,2,4,13,13,15,28,21,4,4,30,4,22,16,1,5,12,29,10,15,12,26,12,9,13,23,30,17,8,1,25,28,22,10,4,6,9
0,2,6,11,19,1,19,15,2,5,3,1,1,21,17,2,29,14,29,17,28,13,1,28,27,30,23,17,2,1,29,11,11,16,11,11,10,1,1,13,9,9,21,2,14,7,22,5,17
16,4,4,15,19,8,14,3,6,1,2,2,10,11,17,3,24,6,28,3,12,13,2,24,11,26,21,14,4,8,13,2,2,30,3,3,6,5,18,17,6,5,3,20,8,6,18,6,8
13,26,16,2,7,4,30,27,1,3,29,22,6,12,10,10,20,3,3,2,17,8,3,9,25,2,9,2,25,6,6,4,4,21,4,11,1,12,3,1,3,20,28,6,1,25,2,4,18
10,24,6,5,2,15,21,18,8,7,20,15,7,6,9,13,10,2,12,1,4,9,15,13,4,4,4,6,18,20,1,1,1,22,1,4,3,25,12,4,4,7,12,14,2,10,9,11,4
10,22,5,17,13,1,20,15,12,15,6,3,2,25,26,6,18,4,27,15,8,24,24,26,7,19,24,27,5,2,18,5,8,24,8,7,8,6,1,15,7,24,15,1,5,8,23,25,17
7,28,2,21,1,11,18,21,7,9,4,7,17,28,28,11,9,1,13,5,1,22,17,6,2,3,12,13,9,7,3,3,3,19,2,6,2,18,8,19,2,29,8,7,3,9,3,23,12
7,21,22,6,10,21,5,22,2,4,22,26,24,16,2,17,17,5,4,11,19,2,1,11,9,8,13,23,28,16,7,8,6,23,6,14,4,19,20,5,13,21,17,16,4,28,4,2,16
5,6,9,8,25,26,2,14,5,5,8,17,9,5,4,9,19,12,6,21,21,10,29,14,18,7,14,4,26,22,15,9,10,25,11,5,17,16,27,10,10,4,16,23,10,26,8,10,5
