"Playoff.Wins","FGA","FG_perc","X3PA","X3P_perc","FTA","FT_perc","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","O_FGA","O_FG_perc","O_3PA","O_3P_perc","O_2P","O_FTA","O_FT_perc","O_ORB","O_DRB","O_AST","O_STL","O_BLK","O_TOV","O_PF","O_PTS","W","MOV","SOS","SRS","ORtg","DRtg","Pace","FTr","X3PAr","eFG_perc","TOV_perc","ORB_perc","FT.FGA","eFG_perc_1","TOV_perc_2","DRB_perc","FT.FGA_3","Attendance"
1,15,18,15,11,30,12,17,13,15,12,26,6,5,2,24,8,11,7,10,9,5,27,2,24,2,7,5,26,29,5,14,14,25,14,22,8,25,29,14,20,7,20,30,10,19,3,6,18
1,29,10,9,10,3,26,18,5,9,8,12,3,27,18,17,11,8,1,15,17,9,2,1,6,1,27,9,15,4,4,8,4,17,4,15,2,13,3,7,5,27,13,4,2,14,2,8,14
0,19,29,6,23,17,23,5,24,18,26,22,29,11,26,25,2,24,2,9,21,21,5,3,12,8,5,17,14,11,7,16,17,22,17,21,11,28,12,6,26,14,4,16,19,11,5,26,24
0,27,4,29,5,23,22,25,23,24,9,3,20,10,4,22,3,6,14,14,3,6,7,17,3,13,13,21,5,23,1,11,10,28,10,18,3,24,23,29,10,17,21,23,13,2,23,5,22
16,20,1,23,21,8,28,7,13,9,10,5,1,22,14,11,9,8,11,7,7,14,20,7,2,7,26,1,5,5,4,3,5,4,3,11,3,11,6,23,5,23,4,16,7,3,7,16,14
14,30,10,9,2,4,13,29,6,17,5,18,21,18,13,15,6,7,28,6,3,16,22,5,6,15,13,4,21,7,10,8,8,24,8,7,11,27,1,7,3,24,27,1,11,19,3,20,7
10,11,17,13,13,18,5,6,11,8,25,6,5,8,20,9,8,4,16,2,4,19,9,18,8,2,8,25,9,15,2,5,3,26,5,4,4,17,18,14,17,6,8,12,4,9,17,22,11
9,15,4,26,15,26,16,5,24,20,4,9,19,7,11,19,5,15,15,17,10,12,6,12,1,24,10,8,17,17,11,6,11,11,10,5,16,29,26,27,10,8,2,25,17,14,19,14,6
7,14,12,16,6,1,9,8,3,3,22,24,18,13,26,4,21,3,27,5,6,22,3,25,13,9,14,13,20,1,13,4,2,12,2,2,5,8,2,16,9,12,9,2,3,23,15,17,12
7,23,20,6,5,17,6,24,7,11,11,2,13,17,21,13,13,2,29,1,1,15,12,26,19,26,11,23,2,19,1,2,4,21,4,14,2,12,13,6,8,18,24,9,2,2,22,15,5
5,4,3,4,18,6,27,25,1,1,6,23,3,20,7,1,30,1,30,15,2,7,25,8,28,11,12,9,19,6,8,1,1,28,1,8,1,1,7,4,1,14,26,15,1,24,1,6,19
5,8,22,1,24,2,8,20,16,18,29,3,10,15,23,2,25,14,22,8,24,17,8,28,29,23,22,15,3,12,23,8,7,13,7,6,14,3,4,1,7,11,25,4,14,7,25,13,15
3,29,6,10,1,19,15,26,8,13,26,30,28,21,12,18,17,12,3,14,23,8,10,9,4,1,19,10,29,14,9,8,9,17,9,10,13,24,10,8,2,26,22,11,9,28,6,7,16
3,28,8,27,17,5,7,30,15,23,28,16,15,6,4,21,19,10,10,3,20,3,30,23,10,5,7,3,18,2,7,8,12,8,11,16,7,22,3,25,18,9,30,3,8,18,20,3,13
2,9,16,2,10,11,14,11,4,4,14,29,16,2,6,3,26,13,20,10,22,6,7,21,17,10,5,5,30,9,16,12,6,18,6,1,18,18,12,2,4,1,11,13,13,30,14,4,1
1,17,27,19,25,20,17,15,19,16,18,8,8,4,2,24,7,18,12,23,12,4,14,2,24,17,5,12,14,28,5,18,16,16,19,23,10,25,20,18,27,4,16,18,18,11,5,5,22
1,3,14,15,3,23,3,16,12,12,30,28,2,3,22,6,27,11,26,29,13,24,15,30,21,19,1,16,27,22,26,14,19,3,16,3,28,13,24,17,14,3,15,19,15,27,27,18,8
0,18,2,30,14,30,12,28,20,25,7,20,11,5,9,23,15,6,13,4,11,9,27,20,16,6,3,11,13,30,3,7,13,23,13,19,6,21,30,30,12,5,29,30,5,13,21,10,23
0,25,11,22,9,21,22,12,14,10,8,9,9,10,15,20,3,16,1,13,19,20,2,1,5,4,4,2,23,18,6,12,10,19,12,13,8,19,22,21,13,13,6,21,12,20,2,21,3
0,10,24,5,26,9,25,9,2,2,15,27,23,24,16,16,29,5,18,9,17,13,13,24,20,3,16,21,28,10,19,14,15,25,20,22,9,9,11,5,23,19,10,17,6,29,12,9,25
16,1,3,8,5,16,23,12,1,2,14,7,19,15,2,1,30,5,28,29,10,1,17,9,13,17,6,15,20,24,22,7,3,30,4,6,10,2,24,12,2,12,9,26,13,24,3,1,10
14,16,2,15,7,29,2,28,18,23,3,19,25,4,14,7,9,15,10,5,18,13,15,6,10,4,5,1,17,28,7,2,4,23,3,5,9,26,29,15,3,4,25,27,10,16,9,14,4
10,25,5,14,1,28,1,21,14,17,17,20,29,7,17,10,7,13,7,6,15,9,13,5,1,3,7,5,22,27,4,5,2,24,2,4,8,28,27,13,4,14,12,19,8,19,6,10,24
10,23,17,19,12,4,5,7,10,5,19,24,17,9,18,13,19,12,14,3,20,12,30,21,4,11,21,17,29,9,12,11,9,26,10,8,21,23,4,19,16,9,4,1,6,28,16,13,13
7,24,8,26,11,3,20,13,13,10,22,1,2,21,23,14,10,4,11,9,9,23,6,11,8,5,8,12,2,4,6,3,5,29,5,13,2,11,1,26,14,21,10,2,3,2,11,22,8
7,21,1,12,2,8,6,27,5,14,7,27,7,13,13,2,25,7,23,14,16,14,11,26,3,8,16,9,26,18,21,4,7,27,7,1,23,12,8,9,1,15,19,5,9,29,21,12,17
6,18,16,1,4,14,8,4,2,1,23,29,8,18,8,4,27,2,3,2,25,2,7,15,5,1,19,3,30,17,3,1,1,28,1,3,4,18,13,1,5,20,3,11,1,30,5,2,1
4,9,4,16,8,27,7,8,19,13,5,8,21,12,14,8,3,18,22,11,5,16,9,4,2,24,12,7,14,15,8,5,6,21,6,7,12,27,28,18,6,13,2,28,21,10,7,21,14
3,22,13,6,18,20,15,25,17,21,26,30,26,3,19,17,12,9,20,13,7,20,5,12,15,2,9,2,26,7,9,8,11,13,9,9,20,24,15,6,8,3,23,16,11,25,17,19,5
2,4,23,2,6,13,3,3,20,12,30,25,13,1,10,5,15,25,17,20,17,22,26,16,22,16,1,10,28,16,23,8,12,12,12,2,29,19,22,3,15,1,11,10,22,27,19,25,26
2,27,12,24,21,6,28,17,15,16,15,11,5,28,16,22,6,8,4,4,13,8,12,2,9,13,26,8,4,3,2,8,8,16,8,24,1,16,6,22,18,28,14,7,5,4,4,9,20
1,26,21,27,3,23,14,16,7,9,29,21,11,6,25,26,5,1,21,1,3,17,4,10,17,6,3,25,23,29,1,11,10,25,11,23,3,30,17,24,23,10,16,15,2,21,8,16,15
1,2,18,23,20,17,18,2,9,4,4,1,12,10,9,15,16,11,18,18,12,15,27,12,20,19,18,20,7,25,16,15,15,10,15,15,6,8,25,27,22,6,6,25,12,7,10,17,11
1,11,19,10,10,25,16,4,22,15,25,13,6,16,24,16,4,14,15,22,6,25,22,7,7,9,10,11,13,13,11,16,13,22,13,10,14,21,23,11,12,18,5,22,16,12,13,27,18
1,5,10,29,23,1,19,15,6,8,13,18,28,20,30,3,28,20,13,19,28,29,18,25,24,12,25,15,10,1,30,17,22,15,22,17,19,1,3,29,20,16,21,3,15,15,18,28,21
0,30,15,11,19,21,12,29,23,29,9,9,30,17,12,25,2,6,29,15,1,6,20,8,11,23,13,4,5,10,5,13,16,20,16,18,7,29,10,7,11,23,29,8,19,3,15,7,27
